Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g.;" research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org)"; in addition to the full references for Binford (2001);  Binford and Johnson (2006); and Kirby et al. Submitted.;;;;;;;;;;;;;;
Source;Preferred society name;Society id;Cross-dataset id;Original society name;Revised latitude;Revised longitude;Original latitude;Original longitude;Glottolog language/dialect id;Glottolog language/dialect name;ISO code;Language family;Focal Year: EA112 Trance states;Code: EA112 Trance states;Description: EA112 Trance states;Comment: EA112 Trance states;Subcase: EA112 Trance states;References: EA112 Trance states
Ethnographic Atlas;Toro;Ad48;xd118;Toro (Ad48);1.0;31.0;1.0;31.0;toor1238;Tooro;ttj;Atlantic-Congo;1950;3;Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.;;;
Ethnographic Atlas;Basakomo;Ah12;xd301;Basakomo (Ah12);8.0;7.0;8.0;7.0;basa1282;Basa (Nigeria);bzw;Atlantic-Congo;1920;8;No trance states of any kind are known to occur, and there is no belief in possession.;;;
Ethnographic Atlas;Zulu;Ab12;xd13;Zulu (Ab12);-29.0;31.0;-29.0;31.0;zulu1248;Zulu;zul;Atlantic-Congo;1830;4;Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.;;;
Ethnographic Atlas;Azande;Ai3;xd359;Azande (Ai3);5.0;27.0;5.0;27.0;zand1248;Zande;zne;Atlantic-Congo;1920;4;Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.;;;
Ethnographic Atlas;Yombe;Ac8;xd74;Yombe (Ac8);-5.0;13.0;-5.0;13.0;yomb1244;Yombe;yom;Atlantic-Congo;1930;8;No trance states of any kind are known to occur, and there is no belief in possession.;;;
Ethnographic Atlas;Yao;Ac7;xd73;Yao (Ac7);-13.0;36.0;-13.0;36.0;yaoo1241;Yao;yao;Atlantic-Congo;1920;3;Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.;;;
Ethnographic Atlas;Songye;Ae18;xd136;Songe (Ae18);-6.0;25.0;-6.0;25.0;song1303;Songe;sop;Atlantic-Congo;1900;2;A belief in possession exists.;;;
Ethnographic Atlas;Konkomba;Ag10;xd245;Konkomba (Ag10);10.0;0.0;10.0;0.0;konk1269;Konkomba;xon;Atlantic-Congo;1940;8;No trance states of any kind are known to occur, and there is no belief in possession.;;;
Ethnographic Atlas;Soga;Ad46;xd116;Soga (Ad46);1.0;33.0;1.0;33.0;soga1242;Soga;xog;Atlantic-Congo;1950;6;Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.;;;
Ethnographic Atlas;Anaguta;Ah9;xd336;Anaguta (Ah9);10.0;9.0;10.0;9.0;igut1238;Iguta;nar;Atlantic-Congo;1920;8;No trance states of any kind are known to occur, and there is no belief in possession.;;;
Ethnographic Atlas;Bafute;Ah8;xd335;Wute (Ah8);6.0;12.0;6.0;12.0;vute1244;Vute;vut;Atlantic-Congo;1910;8;No trance states of any kind are known to occur, and there is no belief in possession.;;;
Ethnographic Atlas;Fante;Af42;xd222;Fanti (Af42);6.0;-1.0;6.0;-1.0;fant1241;Fante;;Atlantic-Congo;1900;1;Trance behavior is known to occur, but there is no belief in possession.;;;
Ethnographic Atlas;Ewe;Af36;xd215;Ewe (Af36);7.0;1.0;7.0;1.0;aguu1242;Agu (Ewe);;Atlantic-Congo;1900;6;Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.;;with special reference to the Glidyi;
Ethnographic Atlas;Mbuti;Aa5;xd5;Mbuti (Aa5);2.0;28.0;2.0;28.0;kang1285;Kango (Tshopo District);kzy;Atlantic-Congo;1930;8;No trance states of any kind are known to occur, and there is no belief in possession.;;Epulu net-hunters, Ituri forest;
Ethnographic Atlas;Ngala;Ae28;xd147;Ngala (Ae28);1.0;18.0;1.0;18.0;ling1263;Lingala;lin;Atlantic-Congo;1900;6;Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.;;;
Ethnographic Atlas;Oyo Yoruba;Af6;xd240;Oyo Yoruba (Af6);8.0;4.0;8.0;4.0;ilaa1245;Ila (Yoruba);;Atlantic-Congo;1950;7;Trance states of two kinds are known to occur, some of which are explained by possession. No other phenomena are explained by possession.;;Yoruba, with special reference to the Oyo;
Ethnographic Atlas;Awuna;Ag37;xd274;Awuna (Ag37);11.0;-2.0;11.0;-2.0;awun1244;Awuna;;Atlantic-Congo;1910;3;Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.;;;
Ethnographic Atlas;Ndebele;Ab9;xd32;Ndebele (Ab9);-20.0;28.0;-20.0;28.0;nort2795;North Ndebele;nde;Atlantic-Congo;1870;1;Trance behavior is known to occur, but there is no belief in possession.;;;
Ethnographic Atlas;Banda;Ai1;xd337;Banda (Ai1);7.0;22.0;7.0;22.0;west2458;West Central Banda;bbp;Atlantic-Congo;1920;4;Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.;;;
Ethnographic Atlas;Jukun;Ah2;xd309;Jukun (Ah2);8.0;10.0;8.0;10.0;juku1254;Jukun Takum;jbu;Atlantic-Congo;1920;6;Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.;;;
Ethnographic Atlas;Mbundu;Ab5;xd28;Mbundu (Ab5);-12.0;16.0;-12.0;16.0;umbu1257;Umbundu;umb;Atlantic-Congo;1930;6;Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.;;;
Ethnographic Atlas;Ambo;Ab19;xd20;Ambo (Ab19);-17.0;16.0;-17.0;16.0;ndon1254;Ndonga;ndo;Atlantic-Congo;1910;6;Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.;;with special reference to the Kuanyama;
Ethnographic Atlas;Wolof;Cb2;xd469;Wolof (Cb2);15.0;-17.0;15.0;-17.0;nucl1347;Nuclear Wolof;wol;Atlantic-Congo;1950;6;Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.;;Upper and lower Salum in Gambia;
Ethnographic Atlas;Gbaya;Ai7;xd381;Baya (Ai7);6.0;16.0;6.0;16.0;nort2775;Northwest Gbaya;gya;Atlantic-Congo;1910;6;Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.;;;
