"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA112 Trance states,Code: EA112 Trance states,Description: EA112 Trance states,Comment: EA112 Trance states,Subcase: EA112 Trance states,References: EA112 Trance states,Variable: Annual Mean Precipitation (mm),Comment: Annual Mean Precipitation (mm),Variable: Precipitation Constancy (),Comment: Precipitation Constancy ()
Ethnographic Atlas,Moken,Ej6,xd728,Selung (Ej6),11.78,98.28,12.0,98.0,moke1242,Moken,mwt,Austronesian,1920,3,Trance behavior is known to occur and is explained as due to possession. There is no possession belief referring to other experiences and there are no trance states with other explanations.,,of the Mergui Archipelago,,161614.8772,,0.323705753,
Ethnographic Atlas,Busama,Ie28,xd805,Busama (Ie28),-6.69,147.26,-7.0,147.0,buga1250,Bugawac,buk,Austronesian,1940,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,,,302765.5696,,0.618167291,
Ethnographic Atlas,Mamvu,Ai5,xd379,Mamvu (Ai5),3.0,29.0,3.0,29.0,mamv1243,Mamvu,mdi,Central Sudanic,,NA,Missing data,,,,221198.5343,,0.599868237,
Ethnographic Atlas,Ulithians,If9,xd840,Ulithians (If9),10.02,139.79,10.0,140.0,ulit1238,Ulithian,uli,Austronesian,1900,6,"Trance explained as due to possession is known to occur, and there are no other trance states, but cases of possession outside of trance are also believed to occur.",,,,229984.5539,,0.621181645,
Ethnographic Atlas,Futajalonke,Ag6,xd294,Futajalonke (Ag6),11.0,-13.0,11.0,-13.0,pula1262,Pular,fuf,Atlantic-Congo,,NA,Missing data,,,,124436.4041,,0.227288662,
Ethnographic Atlas,Miao,Ed4,xd647,Miao (Ed4),26.0,107.0,26.0,107.0,nort2747,Northern Qiandong Miao,hea,Hmong-Mien,1940,1,"Trance behavior is known to occur, but there is no belief in possession.",,with special reference to the Magpie (Yachio) Miao,,108771.1885,,0.455112915,
Ethnographic Atlas,Bata,Ah34,xd325,Bata (Ah34),10.0,13.0,10.0,13.0,bata1314,Bata,bta,Afro-Asiatic,,NA,Missing data,,,,85009.42836,,0.33108392,
Ethnographic Atlas,Mnong Gar,Ej2,xd724,Mnong Gar (Ej2),12.0,107.0,12.0,107.0,east2333,Eastern Mnong,mng,Austroasiatic,1940,1,"Trance behavior is known to occur, but there is no belief in possession.",,with special reference to the village of Sar Luk,,193655.0434,,0.451179955,
Ethnographic Atlas,Anindilyagwa,Id13,xd776,Groote Eylandt (Id13),-13.99,136.6,-14.0,137.0,anin1240,Anindilyakwa,aoi,Gunwinyguan,,NA,Missing data,,,,139930.5019,,0.307583035,
Ethnographic Atlas,Kalinga,Ia16,xd739,Kalinga (Ia16),18.0,121.0,18.0,121.0,lubu1243,Lubuagan Kalinga,knb,Austronesian,1910,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,with special reference to the northern Kalinga,,153686.8415,,0.431136286,
Ethnographic Atlas,Shluh,Cd5,xd523,Shluh (Cd5),30.0,-9.0,30.0,-9.0,susi1238,Susiua,,Afro-Asiatic,1920,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,with special reference to those of the Grand Atlas Mountains,,4976.777975,,0.232735475,
Ethnographic Atlas,Plains Cree,Ne19,xd1218,Plains Cree (Ne19),45.0,-94.0,45.0,-94.0,plai1258,Plains Cree,crk,Algic,1850,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,51204.98316,,0.559491947,
Ethnographic Atlas,Chukchi,Ec3,xd631,Chukchee (Ec3),66.0,177.0,66.0,177.0,chuk1273,Chukchi,ckt,Chukotko-Kamchatkan,1900,1,"Trance behavior is known to occur, but there is no belief in possession.",,Reindeer Division,,43569.91725,,0.58314036,
Ethnographic Atlas,Tullishi,Ai42,xd373,Tullishi (Ai42),12.0,29.0,12.0,29.0,tuli1249,Tulishi,tey,Kadugli-Krongo,1940,8,"No trance states of any kind are known to occur, and there is no belief in possession.",,,,69907.88513,,0.338192659,
Ethnographic Atlas,Widikum,Ae59,xd181,Eidekum (Ae59),6.0,10.0,6.0,10.0,meta1238,Meta',mgo,Atlantic-Congo,,NA,Missing data,,,,188116.4365,,0.462102424,
Ethnographic Atlas,Hazara,Ea3,xd602,Hazara (Ea3),35.0,66.0,35.0,66.0,haza1239,Hazaragi,haz,Indo-European,1930,4,"Two types of trance states are known to occur. One which is explained as due to possession and one which is given another type of explanation. In addition to explaining trance, possession belief also refers to one or more other phenomena.",,with special reference to the Urazgani,,31604.42897,,0.284668131,
Ethnographic Atlas,Piegan,Ne18,xd1217,Piegan (Ne18),49.0,-115.0,49.0,-115.0,pieg1239,Piegan,,Algic,1850,1,"Trance behavior is known to occur, but there is no belief in possession.",,,,89774.3142,,0.539325421,
Ethnographic Atlas,Ngulu,Ad51,xd122,Ngulu (Ad51),-6.0,38.0,-6.0,38.0,ngul1246,Ngulu,ngp,Atlantic-Congo,,NA,Missing data,,,,118774.4473,,0.610595749,
Ethnographic Atlas,Yanzi,Ac26,xd51,Yanzi (Ac26),-4.0,18.0,-4.0,18.0,yans1239,Yansi,yns,Atlantic-Congo,,NA,Missing data,,,,165353.3586,,0.530576162,
Ethnographic Atlas,Lele,Ac23,xd48,Lele (Ac23),-5.0,21.0,-5.0,21.0,lele1265,Lele (Democratic Republic of Congo),lel,Atlantic-Congo,1950,2,A belief in possession exists.,,with special reference to the western Lele,,171380.6937,,0.433095622,
Ethnographic Atlas,Kiowa Apache,Ne2,xd1219,Kiowa Apache (Ne2),36.0,-99.0,36.0,-99.0,kiow1264,Kiowa Apache,apk,Athapaskan-Eyak-Tlingit,1870,5,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",,,,62599.08656,,0.49708281,
